của	of
cảm ơn	thanks
trái cây	fruit
Dưới	under
đắt	expensive
màu vàng	yellow
phần kết luận	conclusion
nguyên tố	prime
bóng	shadow
đấu tranh	struggle
kết luận	conclude
nhà phân tích	analyst
nhảy	dance
giới hạn	limit
như	like
Quy định	regulation
đang	being
Cuối cùng	last
nhẫn	ring
phần lớn	largely
sự thay đổi	shift
thu nhập	revenue
dấu	mark
định vị	locate
quận	county
xuất hiện	appearance
gói	package
khó khăn	difficulty
cầu	bridge
giới thiệu	recommend
hiển nhiên	obvious
xe lửa	train
về cơ bản	basically
email	email
tạo ra	generate
nữa không	anymore
cầu hôn	propose
Suy nghĩ	thinking
có thể	possibly
khuynh hướng	trend
khách thăm quan	visitor
tiền vay	loan
hiện tại	currently
Thoải mái	comfortable
nhà đầu tư	investor
nhưng	but
lợi nhuận	profit
bực bội	angry
phi hành đoàn	crew
sâu	deep
Tai nạn	accident
Nam giới	male
bữa ăn	meal
thính giác	hearing
giao thông	traffic
cơ bắp	muscle
khái niệm	notion
nắm bắt	capture
thích hơn	prefer
thực sự	truly
trái đất	earth
tiếng Nhật	Japanese
ngực	chest
Tìm kiếm	search
dày	thick
tiền mặt	cash
viện bảo tàng	museum
sắc đẹp	beauty
vẻ đẹp	beauty
trường hợp khẩn cấp	emergency
độc nhất	unique
đặc tính	feature
bên trong	internal
dân tộc	ethnic
liên kết	link
nhấn mạnh	stress
Nội dung	content
lựa chọn	select
nguồn gốc	root
mũi	nose
khai	declare
ở ngoài	outside
đánh giá	appreciate
thực tế	actual
chai	bottle
khó khăn	hardly
cài đặt	setting
phóng	launch
trang phục	dress
tập tin	file
đau ốm	sick
kết quả	outcome
quảng cáo	ad
phòng thủ	defend
vấn đề	matter
thẩm phán	judge
nhiệm vụ	duty
tấm	sheet
nên	ought
đảm bảo	ensure
Công giáo	Catholic
vô cùng	extremely
phạm vi	extent
thành phần	component
pha trộn	mix
dài hạn	longterm
chậm	slow
tương phản	contrast
vùng	zone
đánh thức	wake
thử thách	challenge
sân bay	airport
giám đốc	chief
nâu	brown
Tiêu chuẩn	standard
áo sơ mi	shirt
Phi công	pilot
cảnh báo	warn
cuối cùng	ultimately
con mèo	cat
sự đóng góp	contribution
sức chứa	capacity
chúng ta	ourselves
bất động sản	estate
hướng dẫn	guide
tình huống	circumstance
tuyết	snow
Anh	English
chính trị gia	politician
lấy trộm	steal
theo đuổi	pursue
trượt	slip
phần trăm	percentage
thịt	meat
buồn cười	funny
cũng không	neither
đất	soil
ảnh hưởng	influence
phẫu thuật	surgery
chính xác	correct
Người Do thái	Jewish
khiển trách	blame
ước tính	estimate
đến hạn	due
bóng rổ	basketball
muộn	late
golf	golf
điều tra	investigate
khùng	crazy
đáng kể	significantly
chuỗi	chain
địa chỉ nhà	address
chi nhánh	branch
sự phối hợp	combination
chỉ	just
thường xuyên	frequently
thống đốc	governor
cứu trợ	relief
người dùng	user
cha	dad
đá	kick
phần	part
cách thức	manner
xưa	ancient
khoảng lặng	silence
Xêp hạng	rating
vàng	golden
chuyển động	motion
tiếng Đức	German
giới tính	gender
giải quyết	solve
chi phí	fee
phong cảnh	landscape
đã sử dụng	used
bát	bowl
công bằng	equal
Dài	long
chính thức	official
ra	forth
khung	frame
điển hình	typical
ngoại trừ	except
thận trọng	conservative
loại bỏ	eliminate
chủ nhà	host
đại sảnh	hall
Lòng tin	trust
đại dương	ocean
ghi bàn	score
hàng	row
nhà sản xuất	producer
đủ khả năng	afford
trong khi đó	meanwhile
chế độ	regime
phân chia	division
xác nhận	confirm
sửa chữa	fix
kháng cáo	appeal
gương	mirror
răng	tooth
thông minh	smart
chiều dài	length
hoàn toàn	entirely
dựa	rely
đề tài	topic
than phiền	complain
vấn đề	issue
biến	variable
trở lại	back
phạm vi	range
Điện thoại	telephone
nhận thức	perception
thu hút	attract
sự tự tin	confidence
phòng ngủ	bedroom
bí mật	secret
món nợ	debt
hiếm	rare
của anh ấy	his
xe tăng	tank
y tá	nurse
phủ sóng	coverage
Sự đối lập	opposition
qua một bên	aside
ở đâu	anywhere
liên kết	bond
tập tin	file
vui lòng	pleasure
bậc thầy	master
kỷ nguyên	era
yêu cầu	requirement
kiểm tra	check
đứng	stand
vui vẻ	fun
sự mong đợi	expectation
canh	wing
tách rời	separate
hiện nay	now
trong sáng	clear
đấu tranh	struggle
nghĩa là	mean
phần nào	somewhat
đổ	pour
khuấy	stir
phán đoán	judgment
dọn dẹp	clean
ngoại trừ	except
bia	beer
Anh	English
tài liệu tham khảo	reference
nước mắt	tear
nghi ngờ	doubt
ban cho	grant
nghiêm túc	seriously
tài khoản	account
bộ trưởng	minister
mục sư	minister
hoàn toàn	totally
anh hùng	hero
công nghiệp	industrial
đám mây	cloud
căng ra	stretch
người chiến thắng	winner
âm lượng	volume
du lịch	travel
giống	seed
ngạc nhiên	surprised
nghỉ ngơi	rest
thời trang	fashion
tiêu	pepper
tách rời	separate
bận	busy
can thiệp	intervention
sao chép	copy
tiền boa	tip
phía dưới	below
giá rẻ	cheap
mục đích	aim
trích dẫn	cite
phúc lợi	welfare
rau	vegetable
màu xám	gray
món ăn	dish
bờ biển	beach
cải tiến	improvement
mọi nơi	everywhere
khai mạc	opening
tổng thể	overall
chia	divide
ban đầu	initial
khủng khiếp	terrible
phản đối	oppose
đồng thời	contemporary
lộ trình	route
nhiều	multiple
Cần thiết	essential
câu hỏi	question
liên đoàn	league
phạm tội	criminal
cẩn thận	careful
cốt lõi	core
phía trên	upper
vội vã	rush
nhất thiết	necessarily
đặc biệt	specifically
mệt mỏi	tired
tăng lên	rise
cà vạt	tie
thuê	employ
ngày lễ	holiday
nhảy	dance
rộng lớn	vast
độ phân giải	resolution
hộ gia đình	household
ít hơn	fewer
sự phá thai	abortion
xa nhau	apart
nhân chứng	witness
trận đấu	match
vừa đủ	barely
ngành	sector
Tiêu biểu	representative
thiếu sót	lack
ở trên	beneath
bên cạnh	beside
đen	black
biến cố	incident
giới hạn	limited
tự hào	proud
lưu lượng	flow
giảng viên	faculty
cố vấn	counselor
nhân chứng	witness
chương	chapter
đồng bào	fellow
ly hôn	divorce
nợ	owe
ống	pipe
Khỏe mạnh	athletic
nhẹ	slight
môn Toán	math
bóng râm	shade
đuôi	tail
duy trì	sustain
gắn kết	mount
nghĩa vụ	obligation
góc	angle
lòng bàn tay	palm
khác nhau	differ
tập quán	custom
cửa hàng	store
nhà kinh tế học	economist
mười lăm	fifteen
Súp	soup
lễ kỷ niệm	celebration
hiệu quả	efficient
hư hại	damage
thành phần	composition
làm vui lòng	satisfy
ngắn gọn	briefly
carbon	carbon
gần hơn	closer
tiêu dùng	consume
kế hoạch	scheme
bẻ khóa	crack
tần số	frequency
thuốc lá	tobacco
người sống sót	survivor
ngoài ra	besides
trong	in
nhà tâm lý học	psychologist
giàu có	wealthy
Thiên hà	galaxy
được	given
quỹ	fund
trượt tuyết	ski
giới hạn	limitation
được	OK
dấu vết	trace
cuộc hẹn	appointment
sở thích	preference
mét	meter
nổ	explosion
bắt giữ	arrest
công khai	publicly
đáng kinh ngạc	incredible
đấu sĩ	fighter
nhanh	rapid
nhận vào	admission
thợ săn	hunter
giáo dục	educate
đau đớn	painful
hữu nghị	friendship
trợ lý	aide
trẻ sơ sinh	infant
tính toán	calculate
năm mươi	fifty
thoát khỏi	rid
hiên nhà	porch
khuynh hướng	tendency
đồng phục	uniform
sự hình thành	formation
học bổng	scholarship
đặt phòng	reservation
hiệu quả	efficiency
chất thải	waste
đủ tiêu chuẩn	qualify
trung tâm mua sắm	mall
lấy được	derive
vụ bê bối	scandal
PC	PC
Hữu ích	helpful
gây ấn tượng	impress
gót chân	heel
giống	resemble
riêng tư	privacy
vải	fabric
sự ngạc nhiên	surprise
Cuộc thi	contest
tỉ lệ	proportion
hướng dẫn	guideline
súng trường	rifle
bảo trì	maintenance
lòng tin chắc	conviction
lừa	trick
hữu cơ	organic
lều	tent
kiểm tra	examination
nhà xuất bản	publisher
củng cố	strengthen
người Pháp	French
đề xuất	proposed
huyền thoại	myth
tinh vi	sophisticated
bò	cow
vv	etc
đứng	standing
ngủ	asleep
quần vợt	tennis
dây thần kinh	nerve
thùng	barrel
ném bom	bombing
thành viên	membership
tỉ lệ	ratio
thực đơn	menu
mua	purchase
gây tranh cãi	controversial
tuyệt vọng	desperate
tỷ lệ	rate
lối sống	lifestyle
hài hước	humor
to tiếng	loud
găng tay	glove
nghi ngờ	suspect
đủ	sufficient
tường thuật	narrative
nhiếp ảnh gia	photographer
máy bay trực thăng	helicopter
Công giáo	Catholic
khiêm tốn	modest
các nhà cung cấp	provider
nông nghiệp	agricultural
nổ tung	explode
Cú đánh	stroke
phạm vi	scope
hình phạt	punishment
ít	handful
tệ	badly
đường chân trời	horizon
Hiếu kỳ	curious
bạn gái	girlfriend
nhắc nhở	prompt
yêu cầu	request
cholesterol	cholesterol
hấp thụ	absorb
điều chỉnh	adjustment
người nộp thuế	taxpayer
hăng hái	eager
hiệu trưởng	principal
chi tiết	detailed
động lực	motivation
nhiệm vụ	assignment
sự hạn chế	restriction
băng qua	across
Palestine	Palestinian
phòng thí nghiệm	laboratory
xưởng	workshop
khác	differently
Tự động	auto
lãng mạn	romantic
bông	cotton
động cơ	motor
kiện	sue
hương vị	flavor
bỏ qua	overlook
phao	float
trải qua	undergo
trình tự	sequence
trình diễn	demonstration
máy bay phản lực	jet
tiêu dùng	consumption
khẳng định	assert
lưỡi	blade
tạm thời	temporary
thuốc men	medication
in	print
cabin	cabin
cắn	bite
quan hệ	relative
phiên bản	edition
thung lũng	valley
của bạn	yours
sân cỏ	pitch
cây thông	pine
rực rỡ	brilliant
đấu với	versus
chế tạo	manufacturing
rủi ro	risk
Christian	Christian
phức tạp	complex
tuyệt đối	absolute
đầu bếp	chef
kỳ thị	discrimination
phản cảm	offensive
tiếng Đức	German
bộ đồ	suit
sự bùng nổ	boom
ghi danh	register
bổ nhiệm	appoint
gia tài	heritage
thần	God
khủng bố	terrorist
có ưu thế	dominant
thành công	successfully
dơ bẩn	shit
Chanh	lemon
đói bụng	hungry
giác quan	sense
khô	dry
đi lang thang	wander
đệ trình	submit
Kinh tế học	economics
trần truồng	naked
đoán trước	anticipate
hạt	nut
di sản	legacy
sự mở rộng	extension
nhún vai	shrug
bay	fly
ắc quy	battery
sự đến	arrival
hợp pháp	legitimate
sự định hướng	orientation
lạm phát	inflation
đối phó	cope
ngọn lửa	flame
cụm	cluster
chủ nhà	host
phụ thuộc	dependent
vòi hoa sen	shower
thể chế	institutional
miêu tả	depict
điều hành	operating
xác thịt	flesh
gara	garage
nhà điều hành	operator
giảng viên	instructor
vay	borrow
hơn nữa	furthermore
phim hài	comedy
thế chấp	mortgage
sự trừng phạt	sanction
mười hai	twelve
hàng tuần	weekly
môi trường sống	habitat
ngũ cốc	grain
chải	brush
ý thức	consciousness
cống hiến	devote
bẻ khóa	crack
phép đo	measurement
tỉnh	province
giảm bớt	ease
tịch thu	seize
đạo đức	ethics
đề cử	nomination
sự cho phép	permission
khôn ngoan	wise
nữ diễn viên	actress
hội nghị thượng đỉnh	summit
axit	acid
tỷ lệ	odds
năng khiếu	gifted
thất vọng	frustration
Trung bình	medium
chức năng	function
thể chất	physically
ban cho	grant
phân biệt	distinguish
bờ biển	shore
nhiều lần	repeatedly
phổi	lung
chắc chắn	firm
chính xác	correct
khác biệt	distinct
nghệ thuật	artistic
đàm luận	discourse
cái rổ	basket
ah	ah
trận đánh	fighting
ấn tượng	impressive
đối thủ	competitor
xấu xí	ugly
lo lắng	worried
miêu tả	portray
bột	powder
ma	ghost
truy vấn	persuade
vừa phải	moderate
sau đó	subsequent
tiếp tục	continued
bánh quy	cookie
vận chuyển	carrier
nấu nướng	cooking
Thường xuyên	frequent
lệnh cấm	ban
lung lay	swing
trái cam	orange
kinh khủng	awful
ngưỡng mộ	admire
vật nuôi	pet
phép màu	miracle
quá	exceed
nhịp	rhythm
phổ biến rộng rãi	widespread
giết chết	killing
đáng yêu	lovely
tội	sin
từ thiện	charity
kịch bản	script
chiến thuật	tactic
nhận biết	identification
chuyển đổi	transformation
mỗi ngày	everyday
tiêu đề	headline
tai nạn	crash
liên doanh	venture
cuộc xâm lăng	invasion
quân đội	military
dù sao	nonetheless
đầy đủ	adequate
đàn piano	piano
tạp hóa	grocery
cường độ	intensity
cao	high
cái mền	blanket
lề	margin
tiền vệ	quarterback
chuột	mouse
dây thừng	rope
bê tông	concrete
đơn thuốc	prescription
Người Mỹ gốc Phi	AfricanAmerican
đuổi theo	chase
tài liệu	document
gạch	brick
tuyển dụng	recruit
vá	patch
sự đồng thuận	consensus
kinh dị	horror
ghi âm	recording
thay đổi	changing
họa sĩ	painter
thuộc địa	colonial
chiếc bánh	pie
lợi ích	sake
nhìn chằm chằm	gaze
lòng can đảm	courage
mang thai	pregnancy
xin thề	swear
đánh bại	defeat
manh mối	clue
củng cố	reinforce
thắng lợi	win
sự nhầm lẫn	confusion
lát	slice
nghề nghiệp	occupation
kính thưa	dear
than	coal
Linh thiêng	sacred
phạm tội	criminal
công thức	formula
nhận thức	cognitive
tập thể	collective
chính xác	exact
Chú	uncle
Quảng trường	square
đội trưởng	captain
thở dài	sigh
thuộc tính	attribute
dám	dare
đuợc	okay
Vô gia cư	homeless
mát mẻ	cool
bộ sưu tập	gallery
bóng đá	soccer
bị cáo	defendant
đường hầm	tunnel
sự tập thể dục	fitness
vòng	lap
phần mộ	grave
ngón chân	toe
thùng đựng hàng	container
Đức hạnh	virtue
ở nước ngoài	abroad
kiến trúc sư	architect
đột ngột	dramatically
trang điểm	makeup
yêu cầu	inquiry
bông hồng	rose
thật ngạc nhiên	surprisingly
Điểm nổi bật	highlight
giảm bớt	decrease
dấu hiệu	indication
đường sắt	rail
ngày kỷ niệm	anniversary
đi văng	couch
liên minh	alliance
giả thuyết	hypothesis
bạn trai	boyfriend
biên soạn	compose
ngang nhau	peer
lộn xộn	mess
cấp	rank
huyền thoại	legend
quy định	regulate
thanh niên	adolescent
tỏa sáng	shine
định mức	norm
buồn bã	upset
nhận xét	remark
từ chức	resign
dịu dàng	gentle
liên quan	related
đàn organ	organ
nhẹ nhàng	lightly
có liên quan	concerning
phát minh	invent
tiếng cười	laughter
Phù hợp	fit
Tây Bắc	northwest
tư vấn	counseling
chặt chẽ	tight
người nhận	receiver
lễ nghi	ritual
côn trùng	insect
làm gián đoạn	interrupt
cá hồi	salmon
ủng hộ	favor
thương mại	trading
mối quan ngại	concern
cấp trên	superior
chống lại	combat
thân cây	stem
bác sĩ phẫu thuật	surgeon
chấp nhận được	acceptable
vật lý	physics
hãm hiếp	rape
lời khuyên	counsel
chải	brush
Quần jean	jeans
săn bắn	hunt
liên tiếp	continuous
đăng nhập	log
echo	echo
Viên thuốc	pill
bị kích thích	excited
điêu khắc	sculpture
hợp chất	compound
tích hợp	integrate
bột mì	flour
đắng	bitter
trần	bare
dốc	slope
thuê	rent
chức tổng thống	presidency
phục vụ	serving
tế nhị	subtle
rất nhiều	greatly
giám mục	bishop
uống	drinking
sự chậm trễ	delay
khóc	cry
chấp thuận	acceptance
sự sụp đổ	collapse
cửa tiệm	shop
máy bơm	pump
Cục kẹo	candy
tà ác	evil
sau cùng	final
tài chính	finance
vừa lòng	pleased
huy chương	medal
ăn xin	beg
nhà tài trợ	sponsor
đạo đức	ethical
thứ hai	secondary
sập	slam
xuất khẩu	export
thử nghiệm	experimental
tan chảy	melt
nữa đêm	midnight
mạng lưới	net
đường cong	curve
chính trực	integrity
quyền lợi	entitle
hiển nhiên	evident
logic	logic
Bản chất	essence
công viên	park
loại trừ	exclude
khắc nghiệt	harsh
tủ quần áo	closet
ngoại ô	suburban
chào hỏi	greet
ủng hộ	favor
Nội địa	interior
hành lang	corridor
giết người	murder
bán lẻ	retail
người bình	pitcher
tháng Ba	march
con rắn	snake
sân cỏ	pitch
tha	excuse
vượt qua	cross
yếu đuối	weakness
con lợn	pig
lạnh	cold
cổ điển	classical
ước tính	estimated
Áo thun	Tshirt
Trực tuyến	online
thất nghiệp	unemployment
nền văn minh	civilization
gập lại	fold
bệnh nhân	patient
nhạc pop	pop
hằng ngày	daily
đảo ngược	reverse
mất tích	missing
tương quan	correlation
nhân loại	humanity
đèn flash	flash
nhà phát triển	developer
đáng tin cậy	reliable
sự phấn khích	excitement
thịt bò	beef
đạo Hồi	Islam
Roman	Roman
căng ra	stretch
kiến trúc	architecture
thỉnh thoảng	occasional
hành chính	administrative
khuỷu tay	elbow
chết người	deadly
Hồi giáo	Muslim
Người Hispanic	Hispanic
cáo buộc	allegation
tiền boa	tip
nhầm lẫn	confuse
Máy bay	airplane
hàng tháng	monthly
con vịt	duck
liều	dose
Hàn Quốc	Korean
biện hộ	plead
bắt đầu	initiate
bài học	lecture
van	van
thứ sáu	sixth
bay	bay
dòng chính	mainstream
ngoại ô	suburb
sandwich	sandwich
không giống	unlike
Thân cây	trunk
tin đồn	rumor
thực hiện	implementation
nuốt	swallow
động viên	motivate
render	render
thời gian dài	longtime
bẩy	trap
giới hạn	restrict
vải	cloth
có vẻ	seemingly
lập pháp	legislative
hiệu quả	effectiveness
thi hành	enforce
ống kính	lens
chạm tới	reach
thanh tra	inspector
cho vay	lend
trơn	plain
gian lận	fraud
đồng hành	companion
đấu tranh	contend
móng tay	nail
mảng	array
nghiêm khắc	strict
tập hợp	assemble
thẳng thắn	frankly
con chuột	rat
nổ	burst
hành lang	hallway
hang	cave
chắc chắn xảy ra	inevitable
tây nam	southwest
quái vật	monster
tốc độ	speed
phản đối	protest
bất ngờ	unexpected
trở ngại	obstacle
tạo điều kiện	facilitate
gặp gỡ	encounter
Yên nghỉ	rip
thảo mộc	herb
áp đảo	overwhelming
hội nhập	integration
pha lê	crystal
suy thoái kinh tế	recession
muốn	wish
hàng đầu	top
bằng văn bản	written
động cơ	motive
nhãn	label
lũ	flood
cây bút	pen
sở hữu	ownership
ác mộng	nightmare
để ý	notice
kiểm tra	inspection
người giám sát	supervisor
tham khảo ý kiến	consult
đấu trường	arena
cười	laugh
chẩn đoán	diagnosis
chiếm hữu	possession
tha lỗi	forgive
ấm áp	warm
nhất quán	consistently
tầng hầm	basement
dự án	project
trôi dạt	drift
ráo nước	drain
Cuối cùng	last
truy tố	prosecution
tối đa	maximum
thông báo	announcement
chiến binh	warrior
dự đoán	prediction
vi khuẩn	bacteria
bảng câu hỏi	questionnaire
bùn	mud
cơ sở hạ tầng	infrastructure
vội	hurry
đặc quyền	privilege
ngôi đền	temple
ngoài trời	outdoor
hút	suck
và	and
phát sóng	broadcast
lại	re
nhảy vọt	leap
ngẫu nhiên	random
quá khứ	past
cổ tay	wrist
tấm màn	curtain
giám sát	monitor
ao	pond
miền	domain
tội lỗi	guilt
gia súc	cattle
môn học	subject
đi dạo	walking
playoff	playoff
tài chính	fiscal
váy	skirt
đổ	dump
vì thế	hence
cơ sở dữ liệu	database
khó chịu	uncomfortable
mục đích	aim
thi hành	execute
chân tay	limb
hệ tư tưởng	ideology
Trung bình cộng	average
chào mừng	welcome
điều chỉnh	tune
tiếp tục	continuing
làm hại	harm
đường sắt	railroad
chịu đựng	endure
sự bức xạ	radiation
sừng	horn
mãn tính	chronic
bình yên	peaceful
đổi mới	innovation
sự căng thẳng	strain
đàn ghi ta	guitar
thay thế	replacement
hành xử	behave
quản lý	administer
đồng thời	simultaneously
vũ công	dancer
sửa đổi	amendment
bảo vệ	guard
tập giấy	pad
truyền tải	transmission
chờ đợi	await
nghỉ hưu	retired
cò súng	trigger
tràn	spill
tri ân	grateful
ân sủng	grace
ảo	virtual
phản ứng	response
thuộc địa	colony
nhận con nuôi	adoption
trượt	slide
bản địa	indigenous
đóng	closed
tù nhân	convict
dân thường	civilian
khăn tắm	towel
sửa đổi	modify
hạt	particle
giải thưởng	award
nháy mắt	glance
giải thưởng	prize
đổ bộ	landing
hạnh kiểm	conduct
màu xanh da trời	blue
tăng	boost
gậy	bat
báo thức	alarm
lễ hội	festival
nắm chặt	grip
kỳ dị	weird
phá hoại	undermine
sinh viên năm nhất	freshman
mồ hôi	sweat
bên ngoài	outer
Châu Âu	European
say	drunk
khảo sát	survey
nghiên cứu	research
tách biệt	separation
theo truyền thống	traditionally
đồ đạc	stuff
quản lý	govern
Đông Nam	southeast
thông minh	intelligent
ở đâu	wherever
phiếu	ballot
Hùng biện	rhetoric
thuyết phục	convinced
điều khiển	driving
vitamin	vitamin
hăng hái	enthusiasm
chứa	accommodate
ca ngợi	praise
làm bị thương	injure
hoang dã	wilderness
gần đó	nearby
bất tận	endless
ủy nhiệm	mandate
tạm ngừng	pause
tha	excuse
tương ứng	respectively
tính không chắc chắn	uncertainty
hỗn loạn	chaos
ngắn	short
cơ khí	mechanical
Tranh sơn dầu	canvas
bốn mươi	forty
vấn đề	matter
sảnh đợi	lobby
thâm thúy	profound
định dạng	format
đặc điểm	trait
tiền tệ	currency
gà tây	turkey
dự trữ	reserve
chùm tia	beam
lạm dụng	abuse
nhà thiên văn học	astronomer
tham nhũng	corruption
nhà thầu	contractor
xin lỗi	apologize
học thuyết	doctrine
chính hãng	genuine
ngón tay cái	thumb
thống nhất	unity
thỏa hiệp	compromise
kinh khủng	horrible
hành vi	behavioral
độc quyền	exclusive
tiêu tan	scatter
thông thường	commonly
chuyên chở	convey
vội vã	rush
xoắn	twist
phức tạp	complexity
cái nĩa	fork
đĩa	disk
giải tỏa	relieve
nghi ngờ	suspicion
Khóa	lock
hoàn thành	finish
nơi cư trú	residence
xấu hổ	shame
có ý nghĩa	meaningful
đường đi bộ	sidewalk
Thế vận hội	Olympics
công nghệ	technological
Chữ ký	signature
dễ chịu	pleasant
wow	wow
đình chỉ	suspend
nổi loạn	rebel
đông lạnh	frozen
khao khát	desire
vợ hoặc chồng	spouse
chất lỏng	fluid
lương hưu	pension
tiếp tục	resume
lý thuyết	theoretical
natri	sodium
thổi	blow
quảng cáo	promotion
tinh tế	delicate
trán	forehead
xây dựng lại	rebuild
tung lên	bounce
điện	electrical
cái móc	hook
thám tử	detective
du khách	traveler
nhấp chuột	click
đền bù	compensation
tín hiệu	signal
lối thoát	exit
sức hút	attraction
dâng hiến	dedicate
hoàn toàn	altogether
nhặt lên	pickup
khắc chạm	carve
cây kim	needle
bụng	belly
tàu	ship
sợ hãi	scare
danh mục đầu tư	portfolio
đưa đón	shuttle
vô hình	invisible
thời gian	timing
hôn ước	engagement
mắt cá	ankle
Giao dịch	transaction
đối tác	counterpart
lịch sử	historically
vững chắc	firmly
nhẹ nhàng	mild
người lái	rider
búp bê	doll
trưa	noon
triển lãm	exhibit
giữa	amid
giống nhau	identical
tóm lược	precise
lo lắng	anxious
cấu trúc	structural
nhà ở	residential
to tiếng	loud
chẩn đoán	diagnose
carbohydrate	carbohydrate
tự do	liberty
áp phích	poster
thần học	theology
phi lợi nhuận	nonprofit
thu thập thông tin	crawl
ôxy	oxygen
đẹp	handsome
ma thuật	magic
tổng hợp	sum
cung cấp	provided
doanh nhân	businessman
hứa hẹn	promising
có ý thức	conscious
sự quyết tâm	determination
nhà tài trợ	donor
của cô ấy	hers
mục sư	pastor
jazz	jazz
opera	opera
tiếng Nhật	Japanese
cắn	bite
khung	frame
tà ác	evil
mua lại	acquisition
hố	pit
ôm	hug
động vật hoang dã	wildlife
trừng phạt	punish
khổng lồ	giant
sơ cấp	primary
công bằng	equity
sai rồi	wrong
lối vào	doorway
khởi hành	departure
thang máy	elevator
thiếu niên	teenage
hướng dẫn	guidance
hạnh phúc	happiness
bức tượng	statue
theo đuổi	pursuit
sửa	repair
phong nha	decent
phòng thể dục	gym
miệng	oral
nhân viên bán hàng	clerk
Israeli	Israeli
phong bì	envelope
Báo cáo	reporting
nơi đến	destination
nắm tay	fist
chứng thực	endorse
thăm dò	exploration
hào phóng	generous
bồn tắm	bath
cứu hộ	rescue
bằng cách ấy	thereby
tổng thể	overall
chỉ thị	indicator
ánh sáng mặt trời	sunlight
Phản hồi	feedback
quang phổ	spectrum
màu tím	purple
laser	laser
Dũng cảm	bold
lưỡng lự	reluctant
bắt đầu	starting
chuyên môn	expertise
thực tế	practically
chương trình	program
hình ảnh	picture
Ăn	eating
tuổi tác	age
Tình nguyện	volunteer
dấu	hint
mạnh	sharply
diễu hành	parade
biện hộ	advocate
cảnh giới	realm
lệnh cấm	ban
dải	strip
hủy bỏ	cancel
trộn	blend
nhà trị liệu	therapist
lát	slice
lột vỏ	peel
pizza	pizza
người nhận	recipient
do dự	hesitate
lật	flip
kế toán	accounting
tranh luận	debate
sự thiên vị	bias
Huh	huh
phép ẩn dụ	metaphor
nến	candle
xử lý	handle
lo	worry
tư pháp	judicial
thực thể	entity
đau khổ	suffering
toàn thời gian	fulltime
cảm thấy	feel
đèn	lamp
rác thải	garbage
người hầu	servant
thêm vào	addition
quy định	regulatory
ngoại giao	diplomatic
thanh lịch	elegant
phía trong	inside
tiếp nhận	reception
biến mất	vanish
tự động	automatically
cái cằm	chin
đường mòn	trail
sự cần thiết	necessity
xưng	confess
chủ nghĩa phân biệt chủng tộc	racism
bắt đầu	starter
Nội địa	interior
ngân hàng	banking
giản dị	casual
nghiêm trọng	gravity
ghi danh	enroll
suy giảm	diminish
Phòng ngừa	prevention
Arab	Arab
giá trị	value
giảm thiểu	minimize
chặt	chop
người biểu diễn	performer
ý định	intent
cô lập	isolate
máy bơm	pump
hàng tồn kho	inventory
có năng suất	productive
tổ hợp	assembly
công dân	civic
lụa	silk
độ lớn	magnitude
dốc	steep
con tin	hostage
người thu gom	collector
phổ biến	popularity
hôn	kiss
người ngoài hành tinh	alien
năng động	dynamic
đáng sợ	scary
phương trình	equation
Thiên thần	angel
công tắc điện	switch
chào bán	offering
giận dữ	rage
nhiếp ảnh	photography
sửa	repair
phòng vệ sinh	toilet
thất vọng	disappointed
quí	precious
cấm	prohibit
Tiêu biểu	representative
Nội dung	content
thực tế	realistic
Người Nga	Russian
ẩn	hidden
chỉ huy	command
đấu thầu	tender
đánh thức	wake
thu thập	gathering
nổi bật	outstanding
tình cờ gặp	stumble
cô đơn	lonely
ôtô	automobile
nhân tạo	artificial
bình minh	dawn
trừu tượng	abstract
hạ xuống	descend
ngớ ngẩn	silly
cái móc	hook
thủy triều	tide
chia sẻ	shared
hy vọng	hopefully
dễ dàng	readily
hợp tác	cooperate
cách mạng	revolutionary
lãng mạn	romance
phần cứng	hardware
cái gối	pillow
bộ dụng cụ	kit
nấu ăn	cook
Lan tràn	spread
lục địa	continent
niêm phong	seal
mạch	circuit
bồn rửa	sink
phán quyết	ruling
sự thiếu	shortage
hàng năm	annually
gần đây	lately
bẩy	trap
quét	scan
ngu xuẩn	fool
hạn chót	deadline
phía sau	rear
Chế biến	processing
trang trại	ranch
duyên hải	coastal
thực hiện	undertake
nhẹ nhàng	softly
dự trữ	reserve
đốt	burning
lời nói	verbal
bộ lạc	tribal
nực cười	ridiculous
tự động	automatic
kim cương	diamond
uy tín	credibility
nhập khẩu	import
tình dục	sexually
mùa xuân	spring
đường	way
thần thánh	divine
tình cảm	sentiment
xe đẩy	cart
giám sát	oversee
thân cây	stem
đàn anh	elder
pro	pro
cảm hứng	inspiration
Người Hà Lan	Dutch
số lượng	quantity
trailer	trailer
người bạn đời	mate
giờ	oclock
người Hy Lạp	Greek
Thiên tài	genius
tượng đài	monument
BID	bid
nhiệm vụ	quest
lời mời	invitation
tính chính xác	accuracy
bồi thẩm đoàn	juror
chính thức	officially
người môi giới	broker
kho báu	treasure
lòng trung thành	loyalty
tín dụng	credit
sốc	shock
có tài	talented
xăng	gasoline
cứng	stiff
đầu ra	output
ứng cử viên	nominee
mở rộng	extended
xin vui lòng	please
Bệnh tiểu đường	diabetes
tát	slap
chất độc	toxic
cáo buộc	alleged
hàm	jaw
đau buồn	grief
